stepTitle,type,taskId,taskCode,taskTitle,maxScore,obtainedScore,startTime,completionTime
"ประเมินความก้าวหน้าการคลอด",normal,T1,0,"สวมถุงมือ Sterlize 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,106
"ประเมินความก้าวหน้าการคลอด",normal,T2,0,"บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,95
"ประเมินความก้าวหน้าการคลอด",normal,T3,0,"สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,94
"ประเมินความก้าวหน้าการคลอด",normal,T4,0,"หงายมือ 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,201
"ประเมินความก้าวหน้าการคลอด",normal,T5,0,"ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,204
"ประเมินความก้าวหน้าการคลอด ROA",random,T6,0,"ประเมินการเปิดขยายของปากมดลูก พบ Cervical dilatation 3 cm 1 คะแนน",1,0,2025-03-25T08:16:18.336Z,66
"ประเมินความก้าวหน้าการคลอด ROA",random,T7,0,"ประเมิน effacement ความบางของปากมดลูก พบบางที่ 50% 1 คะแนน",1,0,2025-03-25T08:16:18.336Z,167
"ประเมินความก้าวหน้าการคลอด ROA",random,T8,0,"ประเมินถุงน้ำ ถุงน้ํายังอยู่ 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,95
"ประเมินความก้าวหน้าการคลอด ROA",random,T9,0,"ประเมินท่าทารก ท่าทารกเป็นท่า ROA 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,71
"ประเมินความก้าวหน้าการคลอด ROA",random,T10,0,"หลังจากนั้นประเมิน station พบ station สูงกว่า Ischial Spine 1 cm. 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,209
"ประเมินความก้าวหน้าการคลอด",normal,T21,0,"ถอยมือออกมาในแนวตั้ง 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,152
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T22,0,"ตรวจสอบวันหมดอายุบนฉลาก เปิดเซ็ตอุปกรณ์ทำคลอดตามหลักสเตอไรด์ (Animation)  หยิบ Transfer forceps ไปพักไว้ในเซ็ตกะละมังคลอด / 1 คะแนน",1,0,2025-03-25T08:16:18.336Z,195
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T23,0,"เปิดเซ็ตห่อผ้า ชั้นนอก ด้วยมือ / 1 คะแนน",1,0,2025-03-25T08:16:18.336Z,190
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T24,0,"เปิดเซ็ตผ้า ชั้นใน ด้วย Transfer forceps / 1 คะแนน",1,1,2025-03-25T08:16:18.336Z,86
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T25,0,"ใช้ Transfer forceps คีบอุปกรณ์จากเซ็ตทำคลอด มาเรียงบนโต๊ะ ตามลำดับการใช้งาน จากซ้ายไปขวา  ให้ถูกต้อง (Sponge forceps 1 - กรรไกรตัดฝีเย็บ 1 - artery clamp 2 - กรรไกรตัดสายสะดือ 1 - needle holder (สำหรับเย็บแผล) 1 - non-tooth forceps 1 - tooth forceps 1 - Sponge forceps สำรอง 2 - ผ้าในเซ็ต 1)  / 10 คะแนน (หมายเหตุ Sponge forceps สำรอง ปรับเป็น 1 คะแนน)",10,5,2025-03-25T08:16:18.336Z,155
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T26,0,"ใช้ Transfer forceps คีบกะละมังจากเซ็ต มาเรียงตามลำดับการใช้งาน จากใกล้ตัวไปไกลตัว ให้ถูกต้อง (1.กะละมังเปล่า - 2.กะละมังสำลีเช็ดตา - 3.กะละมังสำลีเช็ดคอร์ด+เชือกผูกคอร์ด)  /4 คะแนน",4,0,2025-03-25T08:16:18.336Z,44
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T27,0,"นำถุงมือ, ไซริง, เข็มเบอร์ 18, 22 มาเรียงบนโต๊ะ ให้ถูกต้อง /2 คะแนน",2,0,2025-03-25T08:16:18.336Z,37
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T28,0,"เทน้ำยาเบตาดีนลงในชามกลมเปล่า ปริมาณ 3/4  /1 คะแนน",1,1,2025-03-25T08:16:18.336Z,172
