stepTitle,type,taskId,taskCode,taskTitle,maxScore,obtainedScore,startTime,completionTime
"ประเมินความก้าวหน้าการคลอด",normal,T1,0,"สวมถุงมือ Sterlize 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,75
"ประเมินความก้าวหน้าการคลอด",normal,T2,0,"บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,103
"ประเมินความก้าวหน้าการคลอด",normal,T3,0,"สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,125
"ประเมินความก้าวหน้าการคลอด",normal,T4,0,"หงายมือ 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,101
"ประเมินความก้าวหน้าการคลอด",normal,T5,0,"ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,111
"ประเมินความก้าวหน้าการคลอด LOA",random,T11,0,"ประเมินการเปิดขยายของปากมดลูก 4 cm 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,37
"ประเมินความก้าวหน้าการคลอด LOA",random,T12,0,"ประเมิน effacement ความบางของปากมดลูก พบบางที่ 70% 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,48
"ประเมินความก้าวหน้าการคลอด LOA",random,T13,0,"ประเมินถุงน้ำ ถุงน้ํายังอยู่ MI 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,65
"ประเมินความก้าวหน้าการคลอด LOA",random,T14,0,"ประเมินท่าทารก ท่าทารกเป็นท่า LOA 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,120
"ประเมินความก้าวหน้าการคลอด LOA",random,T15,0,"หลังจากนั้นประเมิน station พบ station อยู่ระดับเดียวกันกับ Ischial Spine Station 0 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,111
"ประเมินความก้าวหน้าการคลอด",normal,T21,0,"ถอยมือออกมาในแนวตั้ง 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,30
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T22,0,"ตรวจสอบวันหมดอายุบนฉลาก เปิดเซ็ตอุปกรณ์ทำคลอดตามหลักสเตอไรด์ (Animation)  หยิบ Transfer forceps ไปพักไว้ในเซ็ตกะละมังคลอด / 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,38
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T23,0,"เปิดเซ็ตห่อผ้า ชั้นนอก ด้วยมือ / 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,83
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T24,0,"เปิดเซ็ตผ้า ชั้นใน ด้วย Transfer forceps / 1 คะแนน",1,1,2025-03-26T02:47:47.460Z,71
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T25,0,"ใช้ Transfer forceps คีบอุปกรณ์จากเซ็ตทำคลอด มาเรียงบนโต๊ะ ตามลำดับการใช้งาน จากซ้ายไปขวา  ให้ถูกต้อง (Sponge forceps 1 - กรรไกรตัดฝีเย็บ 1 - artery clamp 2 - กรรไกรตัดสายสะดือ 1 - needle holder (สำหรับเย็บแผล) 1 - non-tooth forceps 1 - tooth forceps 1 - Sponge forceps สำรอง 2 - ผ้าในเซ็ต 1)  / 10 คะแนน (หมายเหตุ Sponge forceps สำรอง ปรับเป็น 1 คะแนน)",10,3,2025-03-26T02:47:47.460Z,49
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T26,0,"ใช้ Transfer forceps คีบกะละมังจากเซ็ต มาเรียงตามลำดับการใช้งาน จากใกล้ตัวไปไกลตัว ให้ถูกต้อง (1.กะละมังเปล่า - 2.กะละมังสำลีเช็ดตา - 3.กะละมังสำลีเช็ดคอร์ด+เชือกผูกคอร์ด)  /4 คะแนน",4,2,2025-03-26T02:47:47.460Z,16
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T27,0,"นำถุงมือ, ไซริง, เข็มเบอร์ 18, 22 มาเรียงบนโต๊ะ ให้ถูกต้อง /2 คะแนน",2,2,2025-03-26T02:47:47.460Z,41
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T28,0,"เทน้ำยาเบตาดีนลงในชามกลมเปล่า ปริมาณ 3/4  /1 คะแนน",1,0,2025-03-26T02:47:47.460Z,110
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T29,0,"เทน้ำยาเช็ดตาลงในชามกลมสำลีเช็ดตา พอชุ่ม /1 คะแนน",1,1,2025-03-26T02:47:47.460Z,21
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T30,0,"เทน้ำยา chlohexidine dilute ลงในกะละมังใหญ่ ที่มีก้อนสำลี เพื่อใช้สำหรับโกรกน้ำ และไม่เทใส่ในกะละมังรับรก / 1 คะแนน",1,0,2025-03-26T02:47:47.460Z,136
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T31,0,"ใช้  Transfer forceps คีบชายผ้าผืนบนสุด ขึ้น 1 มุมแล้วจึงใช้มือจับ /1 คะแนน",1,0,2025-03-26T02:47:47.460Z,48
"จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา",normal,T32,0,"จากนั้นนำ Transfer forceps ไปคีบชายผ้าอีกมุม ยกผ้าออกจากโต๊ะ แล้วกางผ้าออก นำไปคลุมโต๊ะทำคลอด /1 คะแนน",1,1,2025-03-26T02:47:47.460Z,145
