stepId,parentStepId,stepTitle,type,taskId,taskActor,taskTitle,maxScore,obtainedScore,startTime,completionTime
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T1,,สวมถุงมือ Sterlize 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T2,,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T3,,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T4,,หงายมือ 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T5,,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_ROA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด ROA,random,T6,,ประเมินการเปิดขยายของปากมดลูก พบ Cervical dilatation 3 cm 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_ROA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด ROA,random,T7,,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 50% 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_ROA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด ROA,random,T8,,ประเมินถุงน้ำ ถุงน้ํายังอยู่ 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_ROA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด ROA,random,T9,,ประเมินท่าทารก ท่าทารกเป็นท่า ROA 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_ROA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด ROA,random,T10,,หลังจากนั้นประเมิน station พบ station สูงกว่า Ischial Spine 1 cm. 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_LOA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด LOA,random,T11,,ประเมินการเปิดขยายของปากมดลูก 4 cm 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_LOA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด LOA,random,T12,,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 70% 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_LOA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด LOA,random,T13,,ประเมินถุงน้ำ ถุงน้ํายังอยู่ MI 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_LOA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด LOA,random,T14,,ประเมินท่าทารก ท่าทารกเป็นท่า LOA 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_LOA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด LOA,random,T15,,หลังจากนั้นประเมิน station พบ station อยู่ระดับเดียวกันกับ Ischial Spine Station 0 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_OA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด OA,random,T16,,ประเมินการเปิดขยายของปากมดลูก พบ Cervical fully dilatation 10 cm. 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_OA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด OA,random,T17,,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 100% ไม่พบ effacement 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_OA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด OA,random,T18,,ประเมินถุงน้ำ ถุงน้ําแตกแล้ว MR 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_OA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด OA,random,T19,,ประเมินท่าทารก suture อยู่ในแนวตรง ท่าทารกเป็นท่า OA 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN_OA,LABOUR_PROGRESS_ASSESSMENT_MAIN,ประเมินความก้าวหน้าการคลอด OA,random,T20,,หลังจากนั้นประเมิน station พบ station ส่วนนําต่ํากว่า Ischial Spine Station 1 cm. 1 คะแนน,1,,,
LABOUR_PROGRESS_ASSESSMENT_MAIN,,ประเมินความก้าวหน้าการคลอด,normal,T21,,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,,,
DELIVERY_EQUIPMENT_AND_SOLUTIONS_PREPARATION,LABOUR_PROGRESS_ASSESSMENT_MAIN,จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,normal,T22,,ตรวจสอบวันหมดอายุบนฉลาก เปิดเซ็ตอุปกรณ์ทำคลอดตามหลักสเตอไรด์ (Animation)  หยิบ Transfer forceps ไปพักไว้ในเซ็ตกะละมังคลอด / 1 คะแนน,1,,,
DELIVERY_EQUIPMENT_AND_SOLUTIONS_PREPARATION,LABOUR_PROGRESS_ASSESSMENT_MAIN,จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,normal,T23,,เปิดเซ็ตห่อผ้า ชั้นนอก ด้วยมือ / 1 คะแนน,1,,,
DELIVERY_EQUIPMENT_AND_SOLUTIONS_PREPARATION,LABOUR_PROGRESS_ASSESSMENT_MAIN,จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,normal,T24,,เปิดเซ็ตผ้า ชั้นใน ด้วย Transfer forceps / 1 คะแนน,1,,,
